,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,TCNS Clothing Company Ltd. ,Fabrics and garments,5.96,58.6,3.46,0.21,2.55  (Jul 2018),2.55  (Jul 2018),70.31 k,0.00 ,Small Cap,95.39
1,Grindwell Norton Ltd. ,Abrasives,4.81,58.2,3.44,0.14,2.68  (Jul 2018),2.68  (Jul 2018),97.89 k,0.00 ,Small Cap,95.39
2,- J.K. Cement Ltd. ,Cement,7,56.8,3.35,0.01,2.17  (Jul 2018),2.17  (Jul 2018),56.69 k,0.00 ,Small Cap,95.39
3,- Blue Star Ltd. ,Air conditioner,3.88,48.9,2.88,0.01,2.22  (Sep 2018),2.22  (Sep 2018),63.00 k,0.00 ,Small Cap,95.39
4,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",4.17,48.9,2.88,0.07,2.25  (Sep 2018),2.25  (Sep 2018),3.47 L,0.00 ,Small Cap,95.39
5,Orient Electric Ltd. ,Home appliances,2.79,47.3,2.79,-0.01,2.33  (Jul 2018),2.33  (Jul 2018),2.97 L,0.00 ,Small Cap,95.39
6,Thyrocare Technologies Ltd. ,Healthcare service providers ,2.79,47.3,2.79,0.10,2.69  (May 2019),2.69  (May 2019),1.00 L,0.00 ,Small Cap,95.39
7,Timken India Ltd. ,Bearings,5.04,45.8,2.70,0.31,2.01  (Apr 2019),2.01  (Apr 2019),62.38 k,0.00 ,Small Cap,95.39
8,Aavas Financiers Ltd. ,Housing finance,2.65,45,2.65,-0.10,2.21  (Oct 2018),0  (Jul 2018),30.00 k,-4.22 k,Mid Cap,2.65
9,M M Forgings Ltd. ,Castings/forgings,2.64,44.7,2.64,-0.04,2.64  (Jun 2019),2.64  (Jun 2019),90.89 k,0.00 ,Small Cap,95.39
10,Kalpataru Power Transmission Ltd. ,Transmission towers,2.53,42.8,2.53,0.20,1.57  (Aug 2018),1.57  (Aug 2018),81.53 k,0.00 ,Small Cap,95.39
11,CreditAccess Grameen Ltd. ,Nbfc,6.96,41.9,2.47,0.08,1.47  (Sep 2018),0  (Jul 2018),80.70 k,0.00 ,Small Cap,95.39
12,- Navin Flourine International Ltd. ,Chemicals - inorganic,2.35,39.8,2.35,0.00,1.79  (Jul 2018),1.79  (Jul 2018),56.33 k,0.00 ,Small Cap,95.39
13,Nrb Bearings Ltd. ,Bearings,5.04,39.6,2.34,0.03,2.25  (Jul 2018),2.25  (Jul 2018),2.41 L,0.00 ,Small Cap,95.39
14,Ksb Pumps Ltd. ,Compressors / pumps,3.02,39.6,2.34,0.21,1.94  (Jul 2018),1.94  (Jul 2018),55.22 k,0.00 ,Small Cap,95.39
15,Ador Welding Ltd. ,Electrodes,3.58,38.9,2.29,-0.01,1.88  (Jul 2018),1.88  (Jul 2018),1.12 L,0.00 ,Small Cap,95.39
16,Indostar Capital Finance Private Ltd. ,Nbfc,6.96,35,2.07,-0.07,1.87  (Oct 2018),1.87  (Oct 2018),95.98 k,0.00 ,Small Cap,95.39
17,Ujjivan Small Finance Bank Ltd. ,Banks,2.95,34.6,2.04,-0.35,1.57  (Nov 2018),1.57  (Nov 2018),1.17 L,0.00 ,Small Cap,95.39
