,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,TCNS Clothing Company Ltd. ,Fabrics and garments,5.8,8.1,3.92,0.25,2.83  (Dec 2018),0  (Jul 2018),9.68 k,0.00 ,Small Cap,91.14
1,Grindwell Norton Ltd. ,Abrasives,4.75,7.1,3.45,0.15,0.13  (Oct 2018),0  (Jul 2018),11.91 k,0.00 ,Small Cap,91.14
2,J.K. Cement Ltd. ,Cement,5.29,6.5,3.17,0.01,1.96  (Dec 2018),0  (Jul 2018),6.50 k,0.00 ,Small Cap,91.14
3,KEI Industries Ltd. ,Cables - electricals,3.02,6.2,3.02,-0.14,1.03  (Oct 2018),0  (Jul 2018),12.94 k,0.00 ,Small Cap,91.14
4,M M Forgings Ltd. ,Castings/forgings,2.96,6.1,2.96,-0.03,2.5  (Jan 2019),0  (Jul 2018),12.36 k,0.00 ,Small Cap,91.14
5,CreditAccess Grameen Ltd. ,Nbfc,5.45,5.7,2.75,0.10,0.28  (Oct 2018),0  (Jul 2018),10.91 k,0.00 ,Small Cap,91.14
6,Aavas Financiers Ltd. ,Housing finance,2.69,5.5,2.69,0.02,1.98  (Oct 2018),0  (Jul 2018),3.69 k,-0.35 k,Mid Cap,2.69
7,- Navin Flourine International Ltd. ,Chemicals - inorganic,2.64,5.4,2.64,0.00,2.1  (Jan 2019),0  (Jul 2018),7.68 k,0.00 ,Small Cap,91.14
8,Tube Investments Of India Ltd. ,Auto ancillaries,9.88,5.4,2.62,0.08,2.11  (Feb 2019),0  (Jul 2018),14.01 k,0.00 ,Small Cap,91.14
9,Ksb Pumps Ltd. ,Compressors / pumps,3.64,5.3,2.58,0.24,1.99  (Dec 2018),0  (Jul 2018),7.41 k,0.00 ,Small Cap,91.14
10,Thyrocare Technologies Ltd. ,Healthcare service providers ,2.42,5,2.42,0.10,2.32  (May 2019),0  (Jul 2018),10.55 k,0.00 ,Small Cap,91.14
11,Rane Holdings Ltd. ,Investment companies,4.17,4.4,2.13,-0.23,1.74  (Jan 2019),0  (Jul 2018),4.16 k,0.00 ,Small Cap,91.14
12,Heidelberg Cement India Ltd. ,Cement,5.29,4.4,2.12,-0.03,1.55  (Oct 2018),0  (Jul 2018),22.30 k,0.00 ,Small Cap,91.14
13,Thomas Cook (india) Ltd. ,Diversified services,2.11,4.3,2.11,0.06,0.68  (Nov 2018),0  (Jul 2018),18.89 k,0.00 ,Small Cap,91.14
14,Equitas Holdings Ltd. ,Investment companies,4.17,4.2,2.04,-0.22,1.87  (Nov 2018),0  (Jul 2018),35.01 k,0.00 ,Small Cap,91.14
15,Kalpataru Power Transmission Ltd. ,Transmission towers,2.01,4.1,2.01,0.16,1.45  (Jan 2019),0  (Jul 2018),7.88 k,0.00 ,Small Cap,91.14
