,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,DCB Bank Ltd. ,Banks,6.04,64.5,4.12,0.23,2.62  (Jul 2018),2.62  (Jul 2018),2.72 L,0.00 ,Small Cap,97.78
1,- J.K. Cement Ltd. ,Cement,7.21,62.9,4.02,0.00,3.42  (Jul 2018),3.42  (Jul 2018),62.75 k,0.00 ,Small Cap,97.78
2,Grindwell Norton Ltd. ,Abrasives,5.14,59.5,3.80,0.14,3.25  (Jul 2018),3.25  (Jul 2018),1.00 L,0.00 ,Small Cap,97.78
3,Timken India Ltd. ,Bearings,5.41,48.5,3.10,0.34,2.31  (Apr 2019),2.31  (Apr 2019),66.10 k,0.00 ,Small Cap,97.78
4,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",4.38,46,2.94,0.07,2.3  (Sep 2018),2.3  (Sep 2018),3.27 L,0.00 ,Small Cap,97.78
5,Thyrocare Technologies Ltd. ,Healthcare service providers ,2.86,44.8,2.86,0.10,2.76  (May 2019),2.76  (May 2019),94.93 k,0.00 ,Small Cap,97.78
6,Kalpataru Power Transmission Ltd. ,Transmission towers,2.57,40.2,2.57,0.19,1.59  (Aug 2018),1.59  (Aug 2018),76.57 k,0.00 ,Small Cap,97.78
7,Orient Electric Ltd. ,Home appliances,2.51,39.2,2.51,-0.01,2.1  (Jul 2018),2.1  (Jul 2018),2.47 L,0.00 ,Small Cap,97.78
8,Blue Star Ltd. ,Air conditioner,4.85,38.8,2.48,0.00,1.91  (Sep 2018),1.91  (Sep 2018),49.96 k,0.00 ,Small Cap,97.78
9,TCNS Clothing Company Ltd. ,Fabrics and garments,5.87,38.2,2.44,0.15,1.78  (Jul 2018),1.78  (Jul 2018),45.80 k,0.00 ,Small Cap,97.78
10,M M Forgings Ltd. ,Castings/forgings,2.43,38.1,2.43,-0.04,2.43  (Jun 2019),2.43  (Jun 2019),77.40 k,0.00 ,Small Cap,97.78
11,Ador Welding Ltd. ,Electrodes,3.74,38.1,2.43,-0.02,2  (Jul 2018),2  (Jul 2018),1.09 L,0.00 ,Small Cap,97.78
12,- Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,4.85,37.1,2.37,0.00,2.37  (May 2019),2.37  (May 2019),20.92 k,0.00 ,Small Cap,97.78
13,Ksb Pumps Ltd. ,Compressors / pumps,2.36,36.9,2.36,0.21,2.15  (May 2019),2.15  (May 2019),51.45 k,0.00 ,Small Cap,97.78
14,Nrb Bearings Ltd. ,Bearings,5.41,36.2,2.31,0.03,2.22  (Aug 2018),2.22  (Aug 2018),2.20 L,0.00 ,Small Cap,97.78
15,Kennametal India Ltd. ,Industrial equipment,2.44,33.7,2.15,0.07,1.47  (Jul 2018),1.47  (Jul 2018),30.06 k,0.00 ,Small Cap,97.78
16,Indostar Capital Finance Private Ltd. ,Nbfc,6.11,33.6,2.15,-0.08,1.93  (Oct 2018),1.93  (Oct 2018),92.05 k,0.00 ,Small Cap,97.78
17,Navin Flourine International Ltd. ,Chemicals - inorganic,2.14,33.5,2.14,-0.01,1.85  (Jul 2018),1.85  (Jul 2018),47.35 k,0.00 ,Small Cap,97.78
18,CreditAccess Grameen Ltd. ,Nbfc,6.11,33.3,2.13,0.07,1.18  (Sep 2018),0  (Jul 2018),64.10 k,0.00 ,Small Cap,97.78
19,Brigade Enterprises Ltd. ,Residential/commercial/sez project,1.99,31.1,1.99,0.13,1.34  (Oct 2018),1.34  (Oct 2018),1.20 L,0.00 ,Small Cap,97.78
20,Taj GVK Hotels & Resorts Ltd. ,Hotels/resorts,2.89,30.7,1.96,-0.11,1.86  (Dec 2018),1.86  (Dec 2018),1.64 L,0.00 ,Small Cap,97.78
21,Vesuvius India Ltd. ,Refractories,1.93,30.2,1.93,-0.01,1.85  (Aug 2018),1.85  (Aug 2018),27.06 k,0.00 ,Small Cap,97.78
22,Ujjivan Small Finance Bank Ltd. ,Banks,6.04,30,1.92,-0.33,1.47  (Nov 2018),1.47  (Nov 2018),1.01 L,0.00 ,Small Cap,97.78
23,Thomas Cook (india) Ltd. ,Diversified services,1.91,29.9,1.91,0.04,1.87  (May 2019),1.87  (May 2019),1.30 L,0.00 ,Small Cap,97.78
24,Magma Fincorp Ltd. ,Nbfc,6.11,28.6,1.83,0.06,1.48  (Jan 2019),1.48  (Jan 2019),2.20 L,0.00 ,Small Cap,97.78
25,Rane Holdings Ltd. ,Investment companies,3.49,27.7,1.77,-0.20,1.77  (Jun 2019),1.77  (Jun 2019),26.29 k,0.00 ,Small Cap,97.78
26,Equitas Holdings Ltd. ,Investment companies,3.49,27,1.72,-0.20,1.61  (Nov 2018),1.61  (Nov 2018),2.25 L,0.00 ,Small Cap,97.78
27,Sundaram-Clayton Ltd. ,Auto ancillaries,3.95,26.6,1.70,-0.14,1.7  (Jun 2019),1.7  (Jun 2019),11.52 k,0.00 ,Small Cap,97.78
28,KEI Industries Ltd. ,Cables - electricals,1.68,26.3,1.68,-0.09,0.99  (Oct 2018),0.99  (Oct 2018),54.80 k,0.00 ,Small Cap,97.78
29,Heidelberg Cement India Ltd. ,Cement,7.21,26,1.66,-0.03,1.25  (Jul 2018),1.25  (Jul 2018),1.33 L,0.00 ,Small Cap,97.78
30,Dollar Industries Ltd. ,Fabrics and garments,5.87,25.7,1.64,0.11,1.53  (May 2019),1.53  (May 2019),1.00 L,0.00 ,Small Cap,97.78
31,Navneet Publications (india) Ltd. ,Printing and publishing,1.87,24.7,1.58,0.02,1.52  (Jul 2018),1.52  (Jul 2018),2.33 L,0.00 ,Small Cap,97.78
32,India Cements Ltd. ,Cement,7.21,24,1.53,-0.03,1.39  (Jan 2019),1.39  (Jan 2019),2.40 L,0.00 ,Small Cap,97.78
33,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",1.53,23.9,1.53,-0.16,0.83  (Jul 2018),0.83  (Jul 2018),73.07 k,0.00 ,Small Cap,97.78
34,NCC Ltd. ,"Engineering, designing, construction",4.38,22.5,1.44,0.05,1.39  (May 2019),1.39  (May 2019),2.31 L,0.00 ,Small Cap,97.78
35,Carborundum Universal Ltd. ,Abrasives,5.14,20.9,1.34,-0.02,1.27  (Aug 2018),1.27  (Aug 2018),58.57 k,0.00 ,Small Cap,97.78
36,Esab India Ltd. ,Electrodes,3.74,20.5,1.31,0.02,0.69  (Jul 2018),0.69  (Jul 2018),17.80 k,0.00 ,Small Cap,97.78
37,Transport Corporation Of India Ltd. ,Logistics solution provider,2.29,20.4,1.30,0.01,0.64  (Jul 2018),0.64  (Jul 2018),65.49 k,0.00 ,Small Cap,97.78
38,Salzer Electronics Ltd. ,Consumer elctronics,1.2,18.7,1.20,-0.05,1.09  (Mar 2019),1.09  (Mar 2019),1.51 L,0.00 ,Small Cap,97.78
39,Rajapalayam Mills Ltd. ,Spinning-cotton/blended,1.19,18.7,1.19,-0.03,1.12  (Dec 2018),1.12  (Dec 2018),23.04 k,0.00 ,Small Cap,97.78
40,Heritage Foods (india) Ltd. ,Consumer food,1.08,16.9,1.08,0.03,1.03  (Jul 2018),1.03  (Jul 2018),41.66 k,0.00 ,Small Cap,97.78
41,Century Plyboards India Ltd. ,Plywood boards,1.07,16.7,1.07,0.02,1.05  (May 2019),1.05  (May 2019),1.00 L,0.00 ,Small Cap,97.78
42,L G Balakrishnan & Bros Ltd. ,Auto ancillaries,3.95,16.2,1.03,-0.05,1.03  (Jun 2019),1.03  (Jun 2019),47.43 k,0.00 ,Small Cap,97.78
43,Redington (India) Ltd. ,Logistics solution provider,2.29,15.5,0.99,0.12,0.72  (Jan 2019),0.72  (Jan 2019),1.42 L,0.00 ,Small Cap,97.78
44,Himatsingka Seide Ltd. ,Fabrics and garments,5.87,14.9,0.95,-0.06,0.94  (Feb 2019),0.94  (Feb 2019),92.10 k,8.60 k,Small Cap,97.78
45,Oriental Hotels Ltd. ,Hotels/resorts,2.89,14.5,0.93,-0.07,0.93  (Jun 2019),0.93  (Jun 2019),3.80 L,0.00 ,Small Cap,97.78
46,Raymond Ltd. ,Fabrics and garments,5.87,13.2,0.84,-0.07,0.8  (Sep 2018),0.8  (Sep 2018),17.98 k,0.00 ,Small Cap,97.78
47,HSIL Ltd. ,Glass – consumer,0.81,12.7,0.81,-0.05,0.68  (Nov 2018),0.68  (Nov 2018),49.33 k,0.00 ,Small Cap,97.78
48,Khadim India Ltd. ,Leather and leather products,0.78,12.2,0.78,-0.06,0.78  (Jun 2019),0.78  (Jun 2019),40.00 k,0.00 ,Small Cap,97.78
49,Shanthi Gears Ltd. ,Auto ancillaries,3.95,10.3,0.65,0.02,0.63  (May 2019),0.63  (May 2019),88.74 k,0.00 ,Small Cap,97.78
50,Balaji Telefilms ,Tv broadcasting & software production,0.59,9.3,0.59,-0.10,0.59  (Jun 2019),0.59  (Jun 2019),1.59 L,0.00 ,Small Cap,97.78
51,GNA Axles Ltd. ,Auto ancillaries,3.95,9,0.57,-0.04,0.57  (Jun 2019),0  (Jul 2018),32.95 k,0.00 ,Small Cap,97.78
