,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,TCNS Clothing Company Ltd. ,Fabrics and garments,6.02,50.1,3.43,0.20,2.59  (Jul 2018),2.59  (Jul 2018),60.09 k,0.00 ,Small Cap,92.38
1,- J.K. Cement Ltd. ,Cement,5.23,48.3,3.30,0.00,2.2  (Jul 2018),2.2  (Jul 2018),48.17 k,0.00 ,Small Cap,92.38
2,Grindwell Norton Ltd. ,Abrasives,4.66,48,3.28,0.12,2.64  (Jul 2018),2.64  (Jul 2018),80.71 k,0.00 ,Small Cap,92.38
3,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",3.96,40.6,2.77,0.07,2.15  (Sep 2018),2.15  (Sep 2018),2.88 L,0.00 ,Small Cap,92.38
4,CreditAccess Grameen Ltd. ,Nbfc,6.94,40,2.73,0.09,1.42  (Sep 2018),0  (Jul 2018),76.99 k,0.00 ,Small Cap,92.38
5,Orient Electric Ltd. ,Home appliances,2.71,39.7,2.71,-0.01,2.3  (Sep 2018),2.3  (Sep 2018),2.49 L,0.00 ,Small Cap,92.38
6,Aavas Financiers Ltd. ,Housing finance,2.67,39,2.67,-0.10,2.2  (Oct 2018),0  (Jul 2018),25.99 k,-3.66 k,Mid Cap,2.67
7,Navin Flourine International Ltd. ,Chemicals - inorganic,2.6,38,2.60,-0.01,1.75  (Jul 2018),1.75  (Jul 2018),53.70 k,0.00 ,Small Cap,92.38
8,Tube Investments Of India Ltd. ,Auto ancillaries,8.68,37.7,2.58,0.07,2.02  (Feb 2019),0  (Jul 2018),98.08 k,0.00 ,Small Cap,92.38
9,Thyrocare Technologies Ltd. ,Healthcare service providers ,2.51,36.8,2.51,0.09,2.43  (May 2019),2.43  (May 2019),77.86 k,0.00 ,Small Cap,92.38
10,M M Forgings Ltd. ,Castings/forgings,2.51,36.7,2.51,-0.04,2.51  (Jun 2019),2.51  (Jun 2019),74.49 k,0.00 ,Small Cap,92.38
11,Ador Welding Ltd. ,Electrodes,3.54,33.7,2.31,-0.02,1.95  (Jul 2018),1.95  (Jul 2018),97.00 k,0.00 ,Small Cap,92.38
12,Timken India Ltd. ,Bearings,4.6,33.7,2.31,0.26,1.72  (Apr 2019),1.72  (Apr 2019),45.96 k,0.00 ,Small Cap,92.38
13,Nrb Bearings Ltd. ,Bearings,4.6,33.4,2.29,0.03,2.24  (Sep 2018),2.24  (Sep 2018),2.03 L,0.00 ,Small Cap,92.38
14,Ksb Pumps Ltd. ,Compressors / pumps,3.33,32.4,2.21,0.19,1.88  (Jul 2018),1.88  (Jul 2018),45.14 k,0.00 ,Small Cap,92.38
15,Heidelberg Cement India Ltd. ,Cement,5.23,28.2,1.93,-0.04,1.17  (Sep 2018),1.17  (Sep 2018),1.45 L,0.00 ,Small Cap,92.38
16,Equitas Holdings Ltd. ,Investment companies,3.62,28.1,1.92,-0.22,1.73  (Sep 2018),1.73  (Sep 2018),2.34 L,0.00 ,Small Cap,92.38
17,Magma Fincorp Ltd. ,Nbfc,6.94,28,1.91,0.06,1.38  (Jan 2019),1.38  (Jan 2019),2.15 L,0.00 ,Small Cap,92.38
18,Brigade Enterprises Ltd. ,Residential/commercial/sez project,1.87,27.4,1.87,0.12,1.26  (Oct 2018),1.26  (Oct 2018),1.06 L,0.00 ,Small Cap,92.38
19,Vesuvius India Ltd. ,Refractories,1.86,27.2,1.86,-0.01,1.83  (Aug 2018),1.83  (Aug 2018),24.42 k,0.00 ,Small Cap,92.38
20,Kalpataru Power Transmission Ltd. ,Transmission towers,1.86,27.2,1.86,0.14,1.18  (Aug 2018),1.18  (Aug 2018),51.80 k,0.00 ,Small Cap,92.38
21,- Blue Star Ltd. ,Air conditioner,2.81,26.4,1.81,0.00,1.39  (Sep 2018),0  (Jul 2018),34.09 k,0.00 ,Small Cap,92.38
22,Thomas Cook (india) Ltd. ,Diversified services,1.8,26.3,1.80,0.04,1.76  (May 2019),1.76  (May 2019),1.14 L,0.00 ,Small Cap,92.38
23,Kennametal India Ltd. ,Industrial equipment,2.64,25.9,1.77,0.05,0.79  (Oct 2018),0  (Jul 2018),23.06 k,0.00 ,Small Cap,92.38
24,KEI Industries Ltd. ,Cables - electricals,1.73,25.3,1.73,-0.09,1.02  (Oct 2018),1.02  (Oct 2018),52.67 k,0.00 ,Small Cap,92.38
25,Rane Holdings Ltd. ,Investment companies,3.62,24.9,1.70,-0.19,1.7  (Jun 2019),1.7  (Jun 2019),23.60 k,0.00 ,Small Cap,92.38
26,Sundaram-Clayton Ltd. ,Auto ancillaries,8.68,23.8,1.63,-0.13,1.63  (Jun 2019),1.63  (Jun 2019),10.31 k,0.00 ,Small Cap,92.38
27,Accelya Kale Solutions Limited ,Computers - software,2.78,22,1.50,0.00,1.5  (Jun 2019),0  (Jul 2018),25.50 k,0.00 ,Small Cap,92.38
28,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",1.41,20.6,1.41,-0.15,0.79  (Jul 2018),0.79  (Jul 2018),62.95 k,0.00 ,Small Cap,92.38
29,Carborundum Universal Ltd. ,Abrasives,4.66,20.2,1.38,-0.02,1.34  (Aug 2018),1.34  (Aug 2018),56.51 k,0.00 ,Small Cap,92.38
30,Shanthi Gears Ltd. ,Auto ancillaries,8.68,19.5,1.33,0.04,0.09  (Aug 2018),0  (Jul 2018),1.68 L,0.00 ,Small Cap,92.38
31,Indostar Capital Finance Private Ltd. ,Nbfc,6.94,19.4,1.33,-0.05,0.69  (Jul 2018),0.69  (Jul 2018),53.18 k,0.00 ,Small Cap,92.38
32,Persistent Systems Ltd. ,Computers - software,2.78,18.8,1.28,0.12,0.94  (Oct 2018),0  (Jul 2018),30.42 k,0.00 ,Small Cap,92.38
33,Transport Corporation Of India Ltd. ,Logistics solution provider,2.2,18.7,1.28,0.01,1.1  (Jul 2018),1.1  (Jul 2018),60.04 k,0.00 ,Small Cap,92.38
34,Esab India Ltd. ,Electrodes,3.54,18.1,1.23,0.02,0.67  (Jul 2018),0.67  (Jul 2018),15.69 k,0.00 ,Small Cap,92.38
35,NCC Ltd. ,"Engineering, designing, construction",3.96,17.5,1.19,0.04,1.15  (May 2019),1.15  (May 2019),1.79 L,0.00 ,Small Cap,92.38
36,Salzer Electronics Ltd. ,Consumer elctronics,1.19,17.4,1.19,-0.05,0.98  (Nov 2018),0  (Jul 2018),1.40 L,0.00 ,Small Cap,92.38
37,WPIL Ltd. ,Compressors / pumps,3.33,16.3,1.12,-0.15,0.91  (Jul 2018),0.91  (Jul 2018),20.00 k,0.00 ,Small Cap,92.38
