,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,TCNS Clothing Company Ltd. ,Fabrics and garments,4.43,13.9,3.47,0.21,2.74  (Sep 2018),0  (Jul 2018),16.73 k,0.00 ,Small Cap,91.58
1,Grindwell Norton Ltd. ,Abrasives,4.91,13.7,3.42,0.13,2.59  (Aug 2018),0  (Jul 2018),23.07 k,0.00 ,Small Cap,91.58
2,- J.K. Cement Ltd. ,Cement,4.96,11.9,2.96,0.00,2.12  (Oct 2018),0  (Jul 2018),11.87 k,0.00 ,Small Cap,91.58
3,Ador Welding Ltd. ,Electrodes,3.88,11,2.74,-0.02,1.08  (Oct 2018),0  (Jul 2018),31.67 k,0.00 ,Small Cap,91.58
4,CreditAccess Grameen Ltd. ,Nbfc,6.99,10.9,2.72,0.09,1.32  (Sep 2018),0  (Jul 2018),21.06 k,0.00 ,Small Cap,91.58
5,Aavas Financiers Ltd. ,Housing finance,2.68,10.8,2.68,-0.10,2.1  (Oct 2018),0  (Jul 2018),7.19 k,-1.01 k,Mid Cap,2.68
6,Navin Flourine International Ltd. ,Chemicals - inorganic,2.64,10.6,2.64,-0.01,2.1  (Aug 2018),0  (Jul 2018),15.02 k,0.00 ,Small Cap,91.58
7,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",3.8,10.6,2.63,0.06,2.03  (Sep 2018),0  (Jul 2018),75.21 k,0.00 ,Small Cap,91.58
8,M M Forgings Ltd. ,Castings/forgings,2.61,10.5,2.61,-0.04,2.53  (Jan 2019),0  (Jul 2018),21.27 k,0.00 ,Small Cap,91.58
9,Tube Investments Of India Ltd. ,Auto ancillaries,9.85,10.2,2.54,0.07,1.03  (Feb 2019),0  (Jul 2018),26.56 k,0.00 ,Small Cap,91.58
10,Thyrocare Technologies Ltd. ,Healthcare service providers ,2.44,9.8,2.44,0.09,2.35  (May 2019),0  (Jul 2018),20.74 k,0.00 ,Small Cap,91.58
11,KEI Industries Ltd. ,Cables - electricals,2.41,9.7,2.41,-0.13,1.03  (Oct 2018),0  (Jul 2018),20.17 k,0.00 ,Small Cap,91.58
12,Nrb Bearings Ltd. ,Bearings,3.78,9.2,2.30,0.03,1.2  (Sep 2018),0  (Jul 2018),56.11 k,0.00 ,Small Cap,91.58
13,Equitas Holdings Ltd. ,Investment companies,4.1,8.7,2.17,-0.25,1.68  (Sep 2018),0  (Jul 2018),72.44 k,0.00 ,Small Cap,91.58
14,Ksb Pumps Ltd. ,Compressors / pumps,2.16,8.7,2.16,0.19,1.97  (May 2019),0  (Jul 2018),12.09 k,0.00 ,Small Cap,91.58
15,Thomas Cook (india) Ltd. ,Diversified services,2.13,8.6,2.13,0.05,0.67  (Nov 2018),0  (Jul 2018),37.24 k,0.00 ,Small Cap,91.58
16,Persistent Systems Ltd. ,Computers - software,4.52,8.3,2.07,0.20,0.93  (Oct 2018),0  (Jul 2018),13.46 k,0.00 ,Small Cap,91.58
17,Heidelberg Cement India Ltd. ,Cement,4.96,8.1,2.00,-0.04,1.55  (Oct 2018),0  (Jul 2018),41.25 k,0.00 ,Small Cap,91.58
18,Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,3.72,8,1.99,0.00,1.22  (Feb 2019),0  (Jul 2018),4.50 k,0.00 ,Small Cap,91.58
