,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,TCNS Clothing Company Ltd. ,Fabrics and garments,5.33,36.5,3.47,0.21,2.61  (Jul 2018),2.61  (Jul 2018),43.84 k,0.00 ,Small Cap,91.49
1,Grindwell Norton Ltd. ,Abrasives,4.69,35.7,3.38,0.13,2.76  (Jul 2018),2.76  (Jul 2018),59.93 k,0.00 ,Small Cap,91.49
2,- J.K. Cement Ltd. ,Cement,5.2,34.1,3.24,0.00,2.25  (Jul 2018),2.25  (Jul 2018),34.04 k,0.00 ,Small Cap,91.49
3,CreditAccess Grameen Ltd. ,Nbfc,6.54,28.8,2.73,0.08,1.4  (Sep 2018),0  (Jul 2018),55.40 k,0.00 ,Small Cap,91.49
4,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",3.88,28.6,2.71,0.06,1.01  (Jul 2018),1.01  (Jul 2018),2.03 L,0.00 ,Small Cap,91.49
5,Aavas Financiers Ltd. ,Housing finance,2.67,28.2,2.67,-0.10,2.16  (Oct 2018),0  (Jul 2018),18.78 k,-2.64 k,Mid Cap,2.67
6,Orient Electric Ltd. ,Home appliances,2.66,28,2.66,-0.01,2.25  (Sep 2018),2.25  (Sep 2018),1.76 L,0.00 ,Small Cap,91.49
7,Navin Flourine International Ltd. ,Chemicals - inorganic,2.61,27.5,2.61,-0.01,0.7  (Jul 2018),0.7  (Jul 2018),38.84 k,0.00 ,Small Cap,91.49
8,M M Forgings Ltd. ,Castings/forgings,2.61,27.4,2.61,-0.04,2.52  (Jan 2019),2.52  (Jan 2019),55.76 k,0.00 ,Small Cap,91.49
9,Tube Investments Of India Ltd. ,Auto ancillaries,8.95,26.7,2.53,0.06,1.02  (Feb 2019),0  (Jul 2018),69.48 k,0.00 ,Small Cap,91.49
10,Thyrocare Technologies Ltd. ,Healthcare service providers ,2.41,25.3,2.41,0.08,2.32  (May 2019),2.32  (May 2019),53.68 k,0.00 ,Small Cap,91.49
11,KEI Industries Ltd. ,Cables - electricals,2.39,25.2,2.39,-0.13,1.02  (Oct 2018),0  (Jul 2018),52.40 k,0.00 ,Small Cap,91.49
12,Ador Welding Ltd. ,Electrodes,3.77,25.1,2.38,-0.02,2.04  (Jul 2018),2.04  (Jul 2018),72.00 k,0.00 ,Small Cap,91.49
13,Nrb Bearings Ltd. ,Bearings,4.53,24.1,2.29,0.03,2.25  (Sep 2018),2.25  (Sep 2018),1.47 L,0.00 ,Small Cap,91.49
14,Timken India Ltd. ,Bearings,4.53,23.6,2.24,0.25,1.66  (Apr 2019),1.66  (Apr 2019),32.17 k,0.00 ,Small Cap,91.49
15,Ksb Pumps Ltd. ,Compressors / pumps,2.16,22.7,2.16,0.19,1.86  (Jul 2018),1.86  (Jul 2018),31.67 k,0.00 ,Small Cap,91.49
16,- Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,3.91,22.4,2.13,0.00,0.94  (Feb 2019),0  (Jul 2018),12.64 k,0.00 ,Small Cap,91.49
